# File: A_building_shell_size.csv,,,,,,,,,,,,,,,,,,,
# Title: Building shell conductance or base size overwrite,,,,,,,,,,,,,,,,,,,
# Units: Unitless,,,,,,,,,,,,,,,,,,,
# Column types: ccccnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,
xml,region,gcam.consumer,variable,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_shell_ff55mixscn.xml,Latvia,resid EUR_d4,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Latvia,resid EUR_d5,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Latvia,resid EUR_d6,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Latvia,resid EUR_d7,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Latvia,resid EUR_d8,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Latvia,resid EUR_d9,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Lithuania,resid EUR_d1,shell.conductance,1.155949719,1.11266845,1.090455742,1.06824313,1.046030421,1.02381781,,,,,,,,,,
policy_shell_ff55mixscn.xml,Lithuania,resid EUR_d10,shell.conductance,1.155949719,1.11266845,1.078543634,1.044418817,1.010294001,0.976169184,,,,,,,,,,
policy_shell_ff55mixscn.xml,Lithuania,resid EUR_d2,shell.conductance,1.155949719,1.11266845,1.087439962,1.062211376,1.036982887,1.011754399,,,,,,,,,,
policy_shell_ff55mixscn.xml,Lithuania,resid EUR_d3,shell.conductance,1.155949719,1.11266845,1.086098748,1.059529045,1.032959342,1.006389738,,,,,,,,,,
policy_shell_ff55mixscn.xml,Lithuania,resid EUR_d4,shell.conductance,1.155949719,1.11266845,1.085077911,1.057487372,1.029896833,1.002306293,,,,,,,,,,
policy_shell_ff55mixscn.xml,Lithuania,resid EUR_d5,shell.conductance,1.155949719,1.11266845,1.084369236,1.056069922,1.027770708,0.999471394,,,,,,,,,,
policy_shell_ff55mixscn.xml,Lithuania,resid EUR_d6,shell.conductance,1.155949719,1.11266845,1.08364799,1.05462753,1.02560717,0.99658671,,,,,,,,,,
policy_shell_ff55mixscn.xml,Lithuania,resid EUR_d7,shell.conductance,1.155949719,1.11266845,1.082992619,1.053316688,1.023640856,0.993964925,,,,,,,,,,
policy_shell_ff55mixscn.xml,Lithuania,resid EUR_d8,shell.conductance,1.155949719,1.11266845,1.082135662,1.051602974,1.021070286,0.990537597,,,,,,,,,,
policy_shell_ff55mixscn.xml,Lithuania,resid EUR_d9,shell.conductance,1.155949719,1.11266845,1.081112209,1.049555968,1.017999627,0.986443386,,,,,,,,,,
policy_shell_ff55mixscn.xml,Luxembourg,resid EUR_d1,shell.conductance,,,,,,,,,,,,,,,,
