# File: A_CCap_Constraint.csv,,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon caps for specific industries,,,,,,,,,,,,,,,,,,,,,,,
# Units: MTC,,,,,,,,,,,,,,,,,,,,,,,
# Comments: For linked regions (share same market/policy/constraint) only include the constraint for one region,,,,,,,,,,,,,,,,,,,,,,,
#  If using GDP intensity base year  in GDPIntensity_BaseYear column (must be historical year); then percent change in year columns,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ccccciiinnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,
xml,market,ghgpolicy,link.type,mapping.name,year.fillout,GDPIntensity_BaseYear,adjust.year,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_GHG_constraint_2030_NDC_2020removals.xml,USA,GHG,GHG_NO_LUC_AGPR,,,,2025,4856.800691,3774.9,,,,,,,,,,,,,,
policy_GHG_constraint_post2030_CP_nonzero.xml,Argentina,GHG,ALL_GHG_NOAGPR,,,,2035,,,509.3428936,527.2133264,535.5207368,539.4516943,542.1421457,543.4670255,542.876406,555.7899436,563.7279673,567.2118853,567.0443957,566.0015416,561.7316987,558.3511428
policy_GHG_constraint_post2030_CP_nonzero.xml,Australia_NZ,GHG,ALL_GHG_NOAGPR,,,,2035,,,675.1332345,659.4948865,640.174331,620.8236534,597.4327024,575.0108223,554.0237894,534.4231504,511.0764272,487.5782194,467.0529561,447.6294907,428.9333133,413.3703035
policy_GHG_constraint_post2030_CP_nonzero.xml,Brazil,GHG,ALL_GHG_NOAGPR,,,,2035,,,1986.309581,,,,,,,,,,,,,
policy_GHG_constraint_post2030_CP_nonzero.xml,Canada,GHG,ALL_GHG_NOAGPR,,,,2035,,,542.453285,491.3233917,442.438276,397.699541,356.8352724,319.9589909,286.4857458,261.9500243,238.7731156,215.8781821,196.1043031,179.1461016,164.0201066,151.0715699
policy_GHG_constraint_post2030_CP_nonzero.xml,EU,GHG,ALL_GHG_NOAGPR,,,,2035,,,1872.373635,1483.572548,1184.804987,947.7367053,757.2518396,604.6292608,483.3773201,386.8376712,309.1916195,245.8236846,195.6881199,156.3381324,125.0297528,100.2232073
policy_GHG_constraint_post2030_CP_nonzero.xml,Japan,GHG,ALL_GHG_NOAGPR,,,,2035,,,918.6808185,828.2860217,741.3033748,661.9407578,588.5503456,526.0676635,475.2746422,430.409831,389.1100603,350.6744825,316.3609522,287.4504651,262.6795062,241.4360468
policy_GHG_constraint_post2030_CP_nonzero.xml,Russia,GHG,ALL_GHG_NOAGPR,,,,2035,,,2578.514518,2674.509802,2735.141177,2773.887097,2787.608314,2829.131913,2933.64774,3065.017768,3188.958371,,,,,
policy_GHG_constraint_post2030_CP_nonzero.xml,South America_Southern,GHG,ALL_GHG_NOAGPR,,,,2035,,,828.9586726,937.573156,1051.832668,1170.617719,,,,,,,,,,
policy_GHG_constraint_post2030_CP_nonzero.xml,South Korea,GHG,ALL_GHG_NOAGPR,,,,2035,,,,,,539.3812535,481.5724412,431.5382587,381.8123275,346.6757382,312.2908901,277.3397902,246.3692836,222.2961788,197.3663441,178.5819302
