# File: A_renewable_energy_standards.csv,,,,,,,,,,,,,,,,,,,,,,,
# Title: Policy RES coefficients; outputs; and price multipliers,,,,,,,,,,,,,,,,,,,,,,,
# Units: Varied,,,,,,,,,,,,,,,,,,,,,,,
# Comment: policy.portfolio standard is just name of policy; variable can either be 'input-coef' to define the target or 'pMultiplier' to define price multiplier,,,,,,,,,,,,,,,,,,,,,,,
# Comment: tech_mapping defines the technologies with the policy as an input; sec.out is the set of technologies that output the policy,,,,,,,,,,,,,,,,,,,,,,,
# Comment: sec.out.type defines the output ratio for the sec.out technologies; 'standard' is 1; 'electricity' is based on the coefficients (losses); 'fossil.conv' is 1 divided by efficiency,,,,,,,,,,,,,,,,,,,,,,,
# Comment: note the RES input coefficients for heat pump will be multiplied by calculated ambient heat efficiency,,,,,,,,,,,,,,,,,,,,,,,
# Column types: cccccccnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,
xml,market,policy.portfolio.standard,variable,tech_mapping,sec.out,sec.out.type,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_feres_eu_necp,Netherlands,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.132154528,0.249359644,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528,0.412144528
policy_feres_eu_necp,Poland,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.162937861,0.222798327,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861,0.305937861
policy_feres_eu_necp,Portugal,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.329580449,0.407846961,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449,0.516550449
policy_feres_eu_necp,Romania,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.229860208,0.289381604,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208,0.372050208
policy_feres_eu_necp,Slovakia,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.191950157,0.22478132,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157,0.270380157
policy_feres_eu_necp,Slovenia,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.235698582,0.275533001,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582,0.330858582
policy_feres_eu_necp,Spain,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.17837677,0.298930724,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677,0.46636677
policy_feres_eu_necp,Sweden,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.557823282,0.590658631,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282,0.636263282
policy_feres_eu_necp,Austria,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.34542112,0.440553213,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112,0.57268112
policy_feres_eu_necp,Belgium,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.131841436,0.174526553,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436,0.233811436
policy_feres_eu_necp,Bulgaria,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.219178487,0.279897092,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487,0.364228487
policy_feres_eu_necp,Croatia,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.324749943,0.377594594,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943,0.450989943
policy_feres_eu_necp,Cyprus,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.208342233,0.277734326,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233,0.374112233
policy_feres_eu_necp,Czech Republic,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.175855964,0.23058015,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964,0.306585964
policy_feres_eu_necp,Denmark,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.401665208,0.46689637,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208,0.557495208
policy_feres_eu_necp,Estonia,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.296351867,0.423875588,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867,0.600991867
policy_feres_eu_necp,Finland,FE_RES_N,input-coefficient,FE_RES_DENOM,ELEC_RES_NOM,electricity,0.498957823,0.579200149,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823,0.690647823
