# File: Rao_multimodel_income_deciles_DIAMOND.csv
# Title: Rao Income Deciles adjustes by DIAMOND HH data and GCAM-Europe regional aggregation
# Units: NA
# Description: Income shares for all GCAM regions
# Column types: nncncc 
# ----------
GCAM_region_ID,year,sce,shares,category,model
13,2015,SSP1,0.0469686533390589,d3,PCA algorithm (Two Components)
13,2015,SSP3,0.0474264192608546,d3,PCA algorithm (Two Components)
13,2015,SSP2,0.0474264192608546,d3,PCA algorithm (Two Components)
13,2015,SSP5,0.0474264192608546,d3,PCA algorithm (Two Components)
13,2015,SSP4,0.0474264192608546,d3,PCA algorithm (Two Components)
11,2015,SSP1,0.0238050117142517,d1,PCA algorithm (Two Components)
57,2015,SSP1,0.0264482735946222,d1,PCA algorithm (Two Components)
12,2015,SSP1,0.0662699159156928,d6,PCA algorithm (Two Components)
11,2015,SSP4,0.0250537342309118,d1,PCA algorithm (Two Components)
11,2015,SSP5,0.0250537342309118,d1,PCA algorithm (Two Components)
11,2015,SSP3,0.0250537342309118,d1,PCA algorithm (Two Components)
11,2015,SSP2,0.0250537342309118,d1,PCA algorithm (Two Components)
12,2015,SSP5,0.0664743846945874,d6,PCA algorithm (Two Components)
12,2015,SSP3,0.0664743846945874,d6,PCA algorithm (Two Components)
12,2015,SSP4,0.0664743846945874,d6,PCA algorithm (Two Components)
12,2015,SSP2,0.0664743846945874,d6,PCA algorithm (Two Components)
57,2015,SSP4,0.0278998943103068,d1,PCA algorithm (Two Components)
57,2015,SSP5,0.0278998943103068,d1,PCA algorithm (Two Components)
57,2015,SSP2,0.0278998943103068,d1,PCA algorithm (Two Components)
57,2015,SSP3,0.0278998943103068,d1,PCA algorithm (Two Components)
27,2015,SSP1,0.0258552134273773,d2,PCA algorithm (Two Components)
27,2015,SSP5,0.0261289946281936,d2,PCA algorithm (Two Components)
27,2015,SSP4,0.0261289946281936,d2,PCA algorithm (Two Components)
9,2015,SSP4,0.0407386161366545,d4,PCA algorithm (Two Components)
27,2015,SSP2,0.0261289946281936,d2,PCA algorithm (Two Components)
27,2015,SSP3,0.0261289946281936,d2,PCA algorithm (Two Components)
55,2015,SSP1,0.0316329089107372,d1,PCA algorithm (Two Components)
9,2015,SSP2,0.0407030151101653,d4,PCA algorithm (Two Components)
4,2015,SSP4,0.118132561904482,d8,PCA algorithm (Two Components)
9,2015,SSP5,0.040725676322873,d4,PCA algorithm (Two Components)
9,2015,SSP3,0.0407232383198101,d4,PCA algorithm (Two Components)
4,2015,SSP2,0.118094958305163,d8,PCA algorithm (Two Components)
4,2015,SSP5,0.117913498605815,d8,PCA algorithm (Two Components)
9,2015,SSP1,0.0413929546560415,d4,PCA algorithm (Two Components)
4,2015,SSP3,0.118247519174686,d8,PCA algorithm (Two Components)
55,2015,SSP3,0.0320008926086967,d1,PCA algorithm (Two Components)
15,2015,SSP1,0.0172068091185333,d1,PCA algorithm (Two Components)
55,2015,SSP5,0.0320008926086967,d1,PCA algorithm (Two Components)
55,2015,SSP4,0.0320008926086967,d1,PCA algorithm (Two Components)
55,2015,SSP2,0.0320008926086967,d1,PCA algorithm (Two Components)
19,2015,SSP1,0.0249839139854239,d4,PCA algorithm (Two Components)
19,2015,SSP2,0.0253161406119117,d4,PCA algorithm (Two Components)
10,2015,SSP4,0.0384107332064533,d3,PCA algorithm (Two Components)
19,2015,SSP5,0.0253161406119117,d4,PCA algorithm (Two Components)
19,2015,SSP4,0.0253161406119117,d4,PCA algorithm (Two Components)
19,2015,SSP3,0.0253161406119117,d4,PCA algorithm (Two Components)
66,2015,SSP1,0.0369142592737423,d1,PCA algorithm (Two Components)
10,2015,SSP2,0.0386275285856639,d3,PCA algorithm (Two Components)
15,2015,SSP4,0.0178916997407405,d1,PCA algorithm (Two Components)
15,2015,SSP5,0.0178916997407405,d1,PCA algorithm (Two Components)
15,2015,SSP2,0.0178916997407405,d1,PCA algorithm (Two Components)
15,2015,SSP3,0.0178916997407405,d1,PCA algorithm (Two Components)
10,2015,SSP3,0.038313825623433,d3,PCA algorithm (Two Components)
10,2015,SSP5,0.0389241723681312,d3,PCA algorithm (Two Components)
13,2015,SSP1,0.0563067642619009,d4,PCA algorithm (Two Components)
13,2015,SSP3,0.0564743963229934,d4,PCA algorithm (Two Components)
