# File: A44.CalPrice_bld_EUR.csv
# Title: Prices by sector in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM v7.1 2015-output
# Column types: ccnnnnn
# ----------
region,market,1990,2005,2010,2015,2021
Iceland,resid cooling modern EUR,0,0,0,0,0
Iceland,resid heating coal EUR,0,0,0,0,0
Iceland,resid heating modern EUR,11.8015,12.8702,15.1982,15.3764,15.6437
Iceland,resid hot water coal EUR,0,0,0,0,0
Iceland,resid hot water modern EUR,13.4825,14.6333,17.28,17.5296,17.814
Iceland,resid other appliance modern EUR,14.887,15.4287,17.5844,17.7344,17.9913
Iceland,resid others coal EUR,0,0,0,0,0
Iceland,resid others modern EUR,13.6985,14.9595,17.4014,17.4518,17.4879
Ireland,resid cooking coal EUR,0,0,0,0,0
Ireland,resid cooking modern EUR,24.219,19.2192,20.0853,21.5494,19.2692
Ireland,resid cooling modern EUR,15.4807,14.165,14.5573,14.7496,13.5956
Ireland,resid heating coal EUR,3.61308,3.49489,4.01768,3.83168,3.79249
Ireland,resid heating modern EUR,7.73845,7.3988,9.59539,10.3276,8.08952
Ireland,resid hot water coal EUR,3.15641,2.98621,3.73904,3.47119,3.41477
Ireland,resid hot water modern EUR,13.4286,10.6875,12.7679,13.739,11.2725
Ireland,resid other appliance modern EUR,25.8958,22.5107,23.194,24.4915,22.0481
Ireland,resid others coal EUR,0,0,0,0,0
Ireland,resid others modern EUR,26.6991,22.636,23.1066,24.1618,21.5617
Italy,resid cooking coal EUR,3.03595,2.85111,3.6621,0,0
Italy,resid cooking modern EUR,8.96032,9.46526,11.8542,12.3726,10.1907
Italy,resid cooling modern EUR,13.838,13.138,13.7483,13.7425,12.5111
Italy,resid heating coal EUR,3.68602,3.55766,4.12085,0,0
Italy,resid heating modern EUR,5.82269,5.85299,7.24668,7.44148,6.28423
Italy,resid hot water coal EUR,3.26145,3.07661,3.8876,0,0
Italy,resid hot water modern EUR,9.00387,8.64001,10.5165,10.8117,9.15423
Italy,resid other appliance modern EUR,21.0165,20.4863,22.7225,23.2217,20.0732
Italy,resid others coal EUR,4.44876,4.21772,5.23145,0,0
Italy,resid others modern EUR,21.7215,20.6317,22.6443,22.9294,19.6679
Latvia,resid cooking coal EUR,3.45202,3.19187,4.12922,3.71906,0
Latvia,resid cooking modern EUR,12.4169,13.5661,14.9159,15.7726,13.4226
Latvia,resid cooling modern EUR,15.9141,15.9171,17.6332,18.1752,16.3558
Latvia,resid heating coal EUR,3.97496,3.7943,4.44524,4.16041,4.02071
Latvia,resid heating modern EUR,7.31166,7.25799,8.3094,8.6802,7.94486
Latvia,resid hot water coal EUR,3.67752,3.41737,4.35472,3.94456,3.74339
Latvia,resid hot water modern EUR,10.8232,11.8805,13.7423,14.718,12.6119
Latvia,resid other appliance modern EUR,38.523,36.5868,33.9571,33.6988,31.4763
Latvia,resid others coal EUR,0,0,0,0,0
Latvia,resid others modern EUR,33.9343,35.1087,32.455,32.0079,29.3562
Lithuania,resid cooking coal EUR,3.47605,3.16647,4.12195,3.67866,3.51791
Lithuania,resid cooking modern EUR,11.8864,15.2181,17.2178,18.5668,15.1523
Lithuania,resid cooling modern EUR,15.9062,15.8703,17.5971,17.7223,16.5309
Lithuania,resid heating coal EUR,3.99165,3.77666,4.44019,4.13235,4.02072
Lithuania,resid heating modern EUR,7.11696,7.49938,8.27783,8.37893,8.59304
Lithuania,resid hot water coal EUR,3.70155,3.39197,4.34745,3.90416,3.74341
Lithuania,resid hot water modern EUR,9.14994,11.0496,12.4892,13.5075,12.6005
Lithuania,resid other appliance modern EUR,37.9304,36.3872,33.6918,33.9157,32.0147
Lithuania,resid others coal EUR,0,0,0,0,0
Lithuania,resid others modern EUR,38.9764,36.3747,33.3969,33.3081,31.1192
Luxembourg,resid cooking coal EUR,0,0,0,0,0
Luxembourg,resid cooking modern EUR,18.2334,18.0503,18.5129,19.5854,17.5387
Luxembourg,resid cooling modern EUR,16.1958,15.2622,15.2731,15.0513,14.4116
Luxembourg,resid heating coal EUR,3.68975,3.55837,4.12182,3.90255,3.80942
Luxembourg,resid heating modern EUR,7.11099,7.56513,9.34204,10.0149,8.10696
Luxembourg,resid hot water coal EUR,0,0,0,0,0
Luxembourg,resid hot water modern EUR,9.13346,9.41213,11.0193,11.6879,9.73538
Luxembourg,resid other appliance modern EUR,27.2286,26.5157,27.1579,27.1247,25.9141
Luxembourg,resid others coal EUR,0,0,0,0,0
Luxembourg,resid others modern EUR,28.0587,26.6012,26.9921,26.7174,25.269
Macedonia,resid cooking coal EUR,0,0,0,0,0
Macedonia,resid cooking modern EUR,13.6548,21.6191,23.226,25.4915,22.9208
Macedonia,resid cooling modern EUR,17.1822,16.5624,16.4695,15.7273,14.3307
Macedonia,resid heating coal EUR,3.68088,3.50866,4.10878,3.85077,3.77477
Macedonia,resid heating modern EUR,18.2297,15.1202,16.425,15.0731,14.0889
Macedonia,resid hot water coal EUR,0,0,0,0,0
Macedonia,resid hot water modern EUR,30.4528,30.7135,31.1912,29.592,24.8503
Macedonia,resid other appliance modern EUR,29.8261,30.2061,30.6406,29.1425,25.6659
Macedonia,resid others coal EUR,0,0,0,0,0
Macedonia,resid others modern EUR,30.7086,30.2549,30.406,28.6756,25.031
Malta,resid cooking coal EUR,0,0,0,0,0
Malta,resid cooking modern EUR,8.33192,10.0224,12.9273,13.7759,11.4985
Malta,resid cooling modern EUR,14.0353,13.4943,13.8961,13.847,12.3785
Malta,resid heating coal EUR,0,0,0,0,0
Malta,resid heating modern EUR,17.2736,17.6552,17.4103,16.5475,13.4991
Malta,resid hot water coal EUR,0,0,0,0,0
Malta,resid hot water modern EUR,21.7028,21.6619,20.1099,19.9239,17.6933
Malta,resid other appliance modern EUR,21.5366,21.4978,23.1528,23.5318,19.6653
Malta,resid others coal EUR,0,0,0,0,0
Malta,resid others modern EUR,22.252,21.6331,23.0661,23.2304,19.2767
Moldova,resid cooking coal EUR,0,3.22385,4.14031,3.72399,3.56019
Moldova,resid cooking modern EUR,11.0929,12.1879,14.407,15.5213,11.6978
Moldova,resid cooling modern EUR,17.5916,19.3751,19.2029,18.6781,17.5277
Moldova,resid heating coal EUR,0,3.81651,4.45294,4.16383,4.05008
Moldova,resid heating modern EUR,6.09072,6.8098,7.67773,7.46068,6.85802
Moldova,resid hot water coal EUR,0,3.44935,4.36581,3.94949,3.78569
Moldova,resid hot water modern EUR,9.71753,13.8321,13.9755,14.4907,12.2659
Moldova,resid other appliance modern EUR,30.9081,38.1984,38.5997,37.9485,35.4983
Moldova,resid others coal EUR,0,0,0,0,0
Moldova,resid others modern EUR,31.8125,38.1679,38.2077,37.2219,34.4598
Netherlands,resid cooking coal EUR,0,0,0,0,0
Netherlands,resid cooking modern EUR,12.3694,13.747,14.5949,15.9553,14.6239
Netherlands,resid cooling modern EUR,16.4214,15.4881,15.4932,15.214,14.5345
Netherlands,resid heating coal EUR,3.68975,3.55838,4.12183,3.90255,3.80942
Netherlands,resid heating modern EUR,5.54052,5.78429,7.24487,7.48962,6.58036
Netherlands,resid hot water coal EUR,0,0,0,0,0
Netherlands,resid hot water modern EUR,6.47758,6.83187,8.34275,8.73957,7.57887
Netherlands,resid other appliance modern EUR,27.8211,27.1567,27.7997,27.6115,26.2927
Netherlands,resid others coal EUR,0,0,0,0,0
Netherlands,resid others modern EUR,28.6632,27.2358,27.6212,27.1898,25.632
Norway,resid cooking coal EUR,2.97385,2.55452,0,0,0
Norway,resid cooking modern EUR,29.9207,29.312,28.0821,28.9249,28.064
