"","sector.name","subsector.name","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate"
"247","base load generation","wind","wind_base",2055,"capital",181,0.13
"248","intermediate generation","wind","wind_int",2055,"capital",181,0.13
"249","subpeak generation","wind","wind_subpeak",2055,"capital",181,0.13
"250","peak generation","wind","wind_peak",2055,"capital",181,0.13
"251","base load generation","wind","wind_base",2060,"capital",178,0.13
"252","intermediate generation","wind","wind_int",2060,"capital",178,0.13
"253","subpeak generation","wind","wind_subpeak",2060,"capital",178,0.13
"254","peak generation","wind","wind_peak",2060,"capital",178,0.13
"255","base load generation","wind","wind_base",2065,"capital",176,0.13
"256","intermediate generation","wind","wind_int",2065,"capital",176,0.13
"257","subpeak generation","wind","wind_subpeak",2065,"capital",176,0.13
"258","peak generation","wind","wind_peak",2065,"capital",176,0.13
"259","base load generation","wind","wind_base",2070,"capital",175,0.13
"260","intermediate generation","wind","wind_int",2070,"capital",175,0.13
"261","subpeak generation","wind","wind_subpeak",2070,"capital",175,0.13
"262","peak generation","wind","wind_peak",2070,"capital",175,0.13
"263","base load generation","wind","wind_base",2075,"capital",174,0.13
"264","intermediate generation","wind","wind_int",2075,"capital",174,0.13
"265","subpeak generation","wind","wind_subpeak",2075,"capital",174,0.13
"266","peak generation","wind","wind_peak",2075,"capital",174,0.13
"267","base load generation","wind","wind_base",2080,"capital",174,0.13
"268","intermediate generation","wind","wind_int",2080,"capital",174,0.13
"269","subpeak generation","wind","wind_subpeak",2080,"capital",174,0.13
"270","peak generation","wind","wind_peak",2080,"capital",174,0.13
"271","base load generation","wind","wind_base",2085,"capital",174,0.13
"272","intermediate generation","wind","wind_int",2085,"capital",174,0.13
"273","subpeak generation","wind","wind_subpeak",2085,"capital",174,0.13
"274","peak generation","wind","wind_peak",2085,"capital",174,0.13
"275","base load generation","wind","wind_base",2090,"capital",174,0.13
"276","intermediate generation","wind","wind_int",2090,"capital",174,0.13
"277","subpeak generation","wind","wind_subpeak",2090,"capital",174,0.13
"278","peak generation","wind","wind_peak",2090,"capital",174,0.13
"279","base load generation","wind","wind_base",2095,"capital",173,0.13
"280","intermediate generation","wind","wind_int",2095,"capital",173,0.13
"281","subpeak generation","wind","wind_subpeak",2095,"capital",173,0.13
"282","peak generation","wind","wind_peak",2095,"capital",173,0.13
"283","base load generation","wind","wind_base",2100,"capital",173,0.13
"284","intermediate generation","wind","wind_int",2100,"capital",173,0.13
"285","subpeak generation","wind","wind_subpeak",2100,"capital",173,0.13
"286","peak generation","wind","wind_peak",2100,"capital",173,0.13
"287","base load generation","wind","wind_offshore_floating_base",1975,"capital",683,0.13
"288","intermediate generation","wind","wind_offshore_floating_int",1975,"capital",683,0.13
"289","subpeak generation","wind","wind_offshore_floating_subpeak",1975,"capital",683,0.13
"290","peak generation","wind","wind_offshore_floating_peak",1975,"capital",683,0.13
"291","base load generation","wind","wind_offshore_floating_base",1990,"capital",683,0.13
"292","intermediate generation","wind","wind_offshore_floating_int",1990,"capital",683,0.13
"293","subpeak generation","wind","wind_offshore_floating_subpeak",1990,"capital",683,0.13
"294","peak generation","wind","wind_offshore_floating_peak",1990,"capital",683,0.13
"295","base load generation","wind","wind_offshore_floating_base",2005,"capital",683,0.13
"296","intermediate generation","wind","wind_offshore_floating_int",2005,"capital",683,0.13
"297","subpeak generation","wind","wind_offshore_floating_subpeak",2005,"capital",683,0.13
"298","peak generation","wind","wind_offshore_floating_peak",2005,"capital",683,0.13
"299","base load generation","wind","wind_offshore_floating_base",2010,"capital",683,0.13
"300","intermediate generation","wind","wind_offshore_floating_int",2010,"capital",683,0.13
"301","subpeak generation","wind","wind_offshore_floating_subpeak",2010,"capital",683,0.13
"302","peak generation","wind","wind_offshore_floating_peak",2010,"capital",683,0.13
"303","base load generation","wind","wind_offshore_floating_base",2015,"capital",683,0.13
"304","intermediate generation","wind","wind_offshore_floating_int",2015,"capital",683,0.13
"305","subpeak generation","wind","wind_offshore_floating_subpeak",2015,"capital",683,0.13
"306","peak generation","wind","wind_offshore_floating_peak",2015,"capital",683,0.13
"307","base load generation","wind","wind_offshore_floating_base",2021,"capital",660,0.13
"308","intermediate generation","wind","wind_offshore_floating_int",2021,"capital",660,0.13
"309","subpeak generation","wind","wind_offshore_floating_subpeak",2021,"capital",660,0.13
"310","peak generation","wind","wind_offshore_floating_peak",2021,"capital",660,0.13
"311","base load generation","wind","wind_offshore_floating_base",2025,"capital",579,0.13
"312","intermediate generation","wind","wind_offshore_floating_int",2025,"capital",579,0.13
"313","subpeak generation","wind","wind_offshore_floating_subpeak",2025,"capital",579,0.13
"314","peak generation","wind","wind_offshore_floating_peak",2025,"capital",579,0.13
"315","base load generation","wind","wind_offshore_floating_base",2030,"capital",510,0.13
"316","intermediate generation","wind","wind_offshore_floating_int",2030,"capital",510,0.13
"317","subpeak generation","wind","wind_offshore_floating_subpeak",2030,"capital",510,0.13
"318","peak generation","wind","wind_offshore_floating_peak",2030,"capital",510,0.13
"319","base load generation","wind","wind_offshore_floating_base",2035,"capital",464,0.13
"320","intermediate generation","wind","wind_offshore_floating_int",2035,"capital",464,0.13
"321","subpeak generation","wind","wind_offshore_floating_subpeak",2035,"capital",464,0.13
"322","peak generation","wind","wind_offshore_floating_peak",2035,"capital",464,0.13
"323","base load generation","wind","wind_offshore_floating_base",2040,"capital",434,0.13
"324","intermediate generation","wind","wind_offshore_floating_int",2040,"capital",434,0.13
"325","subpeak generation","wind","wind_offshore_floating_subpeak",2040,"capital",434,0.13
"326","peak generation","wind","wind_offshore_floating_peak",2040,"capital",434,0.13
"327","base load generation","wind","wind_offshore_floating_base",2045,"capital",415,0.13
"328","intermediate generation","wind","wind_offshore_floating_int",2045,"capital",415,0.13
"329","subpeak generation","wind","wind_offshore_floating_subpeak",2045,"capital",415,0.13
"330","peak generation","wind","wind_offshore_floating_peak",2045,"capital",415,0.13
"331","base load generation","wind","wind_offshore_floating_base",2050,"capital",401,0.13
"332","intermediate generation","wind","wind_offshore_floating_int",2050,"capital",401,0.13
"333","subpeak generation","wind","wind_offshore_floating_subpeak",2050,"capital",401,0.13
"334","peak generation","wind","wind_offshore_floating_peak",2050,"capital",401,0.13
"335","base load generation","wind","wind_offshore_floating_base",2055,"capital",393,0.13
"336","intermediate generation","wind","wind_offshore_floating_int",2055,"capital",393,0.13
"337","subpeak generation","wind","wind_offshore_floating_subpeak",2055,"capital",393,0.13
"338","peak generation","wind","wind_offshore_floating_peak",2055,"capital",393,0.13
"339","base load generation","wind","wind_offshore_floating_base",2060,"capital",387,0.13
"340","intermediate generation","wind","wind_offshore_floating_int",2060,"capital",387,0.13
"341","subpeak generation","wind","wind_offshore_floating_subpeak",2060,"capital",387,0.13
"342","peak generation","wind","wind_offshore_floating_peak",2060,"capital",387,0.13
"343","base load generation","wind","wind_offshore_floating_base",2065,"capital",383,0.13
"344","intermediate generation","wind","wind_offshore_floating_int",2065,"capital",383,0.13
"345","subpeak generation","wind","wind_offshore_floating_subpeak",2065,"capital",383,0.13
"346","peak generation","wind","wind_offshore_floating_peak",2065,"capital",383,0.13
"347","base load generation","wind","wind_offshore_floating_base",2070,"capital",381,0.13
"348","intermediate generation","wind","wind_offshore_floating_int",2070,"capital",381,0.13
"349","subpeak generation","wind","wind_offshore_floating_subpeak",2070,"capital",381,0.13
"350","peak generation","wind","wind_offshore_floating_peak",2070,"capital",381,0.13
"351","base load generation","wind","wind_offshore_floating_base",2075,"capital",379,0.13
"352","intermediate generation","wind","wind_offshore_floating_int",2075,"capital",379,0.13
"353","subpeak generation","wind","wind_offshore_floating_subpeak",2075,"capital",379,0.13
"354","peak generation","wind","wind_offshore_floating_peak",2075,"capital",379,0.13
"355","base load generation","wind","wind_offshore_floating_base",2080,"capital",378,0.13
"356","intermediate generation","wind","wind_offshore_floating_int",2080,"capital",378,0.13
"357","subpeak generation","wind","wind_offshore_floating_subpeak",2080,"capital",378,0.13
"358","peak generation","wind","wind_offshore_floating_peak",2080,"capital",378,0.13
