"","sector.name","subsector.name","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate","subsector.name0"
"228","intermediate generation","PV_int","PV",2030,"capital",205,0.13,"solar"
"229","subpeak generation","PV_subpeak","PV",2030,"capital",205,0.13,"solar"
"230","peak generation","PV_peak","PV",2030,"capital",205,0.13,"solar"
"231","base load generation","PV_base","PV",2035,"capital",177,0.13,"solar"
"232","intermediate generation","PV_int","PV",2035,"capital",177,0.13,"solar"
"233","subpeak generation","PV_subpeak","PV",2035,"capital",177,0.13,"solar"
"234","peak generation","PV_peak","PV",2035,"capital",177,0.13,"solar"
"235","base load generation","PV_base","PV",2040,"capital",162,0.13,"solar"
"236","intermediate generation","PV_int","PV",2040,"capital",162,0.13,"solar"
"237","subpeak generation","PV_subpeak","PV",2040,"capital",162,0.13,"solar"
"238","peak generation","PV_peak","PV",2040,"capital",162,0.13,"solar"
"239","base load generation","PV_base","PV",2045,"capital",153,0.13,"solar"
"240","intermediate generation","PV_int","PV",2045,"capital",153,0.13,"solar"
"241","subpeak generation","PV_subpeak","PV",2045,"capital",153,0.13,"solar"
"242","peak generation","PV_peak","PV",2045,"capital",153,0.13,"solar"
"243","base load generation","PV_base","PV",2050,"capital",148,0.13,"solar"
"244","intermediate generation","PV_int","PV",2050,"capital",148,0.13,"solar"
"245","subpeak generation","PV_subpeak","PV",2050,"capital",148,0.13,"solar"
"246","peak generation","PV_peak","PV",2050,"capital",148,0.13,"solar"
"247","base load generation","PV_base","PV",2055,"capital",145,0.13,"solar"
"248","intermediate generation","PV_int","PV",2055,"capital",145,0.13,"solar"
"249","subpeak generation","PV_subpeak","PV",2055,"capital",145,0.13,"solar"
"250","peak generation","PV_peak","PV",2055,"capital",145,0.13,"solar"
"251","base load generation","PV_base","PV",2060,"capital",144,0.13,"solar"
"252","intermediate generation","PV_int","PV",2060,"capital",144,0.13,"solar"
"253","subpeak generation","PV_subpeak","PV",2060,"capital",144,0.13,"solar"
"254","peak generation","PV_peak","PV",2060,"capital",144,0.13,"solar"
"255","base load generation","PV_base","PV",2065,"capital",143,0.13,"solar"
"256","intermediate generation","PV_int","PV",2065,"capital",143,0.13,"solar"
"257","subpeak generation","PV_subpeak","PV",2065,"capital",143,0.13,"solar"
"258","peak generation","PV_peak","PV",2065,"capital",143,0.13,"solar"
"259","base load generation","PV_base","PV",2070,"capital",143,0.13,"solar"
"260","intermediate generation","PV_int","PV",2070,"capital",143,0.13,"solar"
"261","subpeak generation","PV_subpeak","PV",2070,"capital",143,0.13,"solar"
"262","peak generation","PV_peak","PV",2070,"capital",143,0.13,"solar"
"263","base load generation","PV_base","PV",2075,"capital",142,0.13,"solar"
"264","intermediate generation","PV_int","PV",2075,"capital",142,0.13,"solar"
"265","subpeak generation","PV_subpeak","PV",2075,"capital",142,0.13,"solar"
"266","peak generation","PV_peak","PV",2075,"capital",142,0.13,"solar"
"267","base load generation","PV_base","PV",2080,"capital",142,0.13,"solar"
"268","intermediate generation","PV_int","PV",2080,"capital",142,0.13,"solar"
"269","subpeak generation","PV_subpeak","PV",2080,"capital",142,0.13,"solar"
"270","peak generation","PV_peak","PV",2080,"capital",142,0.13,"solar"
"271","base load generation","PV_base","PV",2085,"capital",142,0.13,"solar"
"272","intermediate generation","PV_int","PV",2085,"capital",142,0.13,"solar"
"273","subpeak generation","PV_subpeak","PV",2085,"capital",142,0.13,"solar"
"274","peak generation","PV_peak","PV",2085,"capital",142,0.13,"solar"
"275","base load generation","PV_base","PV",2090,"capital",142,0.13,"solar"
"276","intermediate generation","PV_int","PV",2090,"capital",142,0.13,"solar"
"277","subpeak generation","PV_subpeak","PV",2090,"capital",142,0.13,"solar"
"278","peak generation","PV_peak","PV",2090,"capital",142,0.13,"solar"
"279","base load generation","PV_base","PV",2095,"capital",142,0.13,"solar"
"280","intermediate generation","PV_int","PV",2095,"capital",142,0.13,"solar"
"281","subpeak generation","PV_subpeak","PV",2095,"capital",142,0.13,"solar"
"282","peak generation","PV_peak","PV",2095,"capital",142,0.13,"solar"
"283","base load generation","PV_base","PV",2100,"capital",142,0.13,"solar"
"284","intermediate generation","PV_int","PV",2100,"capital",142,0.13,"solar"
"285","subpeak generation","PV_subpeak","PV",2100,"capital",142,0.13,"solar"
"286","peak generation","PV_peak","PV",2100,"capital",142,0.13,"solar"
"287","base load generation","wind_base","wind",1975,"capital",371,0.13,"wind"
"288","intermediate generation","wind_int","wind",1975,"capital",371,0.13,"wind"
"289","subpeak generation","wind_subpeak","wind",1975,"capital",371,0.13,"wind"
"290","peak generation","wind_peak","wind",1975,"capital",371,0.13,"wind"
"291","base load generation","wind_base","wind",1990,"capital",371,0.13,"wind"
"292","intermediate generation","wind_int","wind",1990,"capital",371,0.13,"wind"
