# File: OutputsByTech.csv,,,,,,,,,,
# Title: Outputs by tech used for GDP intensity policies,,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors,,,,,,,,,,
# Updated August 17th with IAMCOMPACT reference scenario,,,,,,,,,,
# Units: EJ,,,,,,,,,,
# Column types: cccccnnnnnc,,,,,,,,,,
# ----------,,,,,,,,,,
region,sector,subsector,output,technology,1990,2005,2010,2015,2021,Units
Russia,district heat,refined liquids,district heat,refined liquids,0.548073,0.301464,0.248222,0.200508,0.103612,EJ
Australia_NZ,elec_CSP,CSP,elec_CSP,CSP (dry_hybrid),0,1.80E-06,5.40E-06,7.20E-06,9.00E-06,EJ
Australia_NZ,elec_CSP,CSP,elec_CSP,CSP (recirculating),0,1.80E-06,5.40E-06,7.20E-06,9.00E-06,EJ
China,elec_CSP,CSP,elec_CSP,CSP (dry_hybrid),0,0,3.60E-06,5.22E-05,0.00360898,EJ
China,elec_CSP,CSP,elec_CSP,CSP (recirculating),0,0,3.60E-06,5.22E-05,0.00360898,EJ
Australia_NZ,elec_CSP_storage,CSP_storage,elec_CSP_storage,CSP_storage (dry_hybrid),0,0,0,0.00E+00,0,EJ
Australia_NZ,elec_CSP_storage,CSP_storage,elec_CSP_storage,CSP_storage (recirculating),0,0,0,0,0,EJ
China,elec_CSP_storage,CSP_storage,elec_CSP_storage,CSP_storage (dry_hybrid),0,0,0,0,0,EJ
China,elec_CSP_storage,CSP_storage,elec_CSP_storage,CSP_storage (recirculating),0.00E+00,0,0,0,0,EJ
Russia,elec_CSP_storage,CSP_storage,elec_CSP_storage,CSP_storage (dry_hybrid),0,0,0,0,0,EJ
Russia,elec_CSP_storage,CSP_storage,elec_CSP_storage,CSP_storage (recirculating),0,0,0,0,0,EJ
Australia_NZ,elec_Gen_III,Gen_III,elec_Gen_III,Gen_III (seawater),0,0,0,0,0,EJ
China,elec_Gen_III,Gen_III,elec_Gen_III,Gen_III (cooling pond),0,0,0,0,0,EJ
China,elec_Gen_III,Gen_III,elec_Gen_III,Gen_III (once through),0,0,0,0,0,EJ
China,elec_Gen_III,Gen_III,elec_Gen_III,Gen_III (recirculating),0,0,0,0,0,EJ
China,elec_Gen_III,Gen_III,elec_Gen_III,Gen_III (seawater),0,0,0,0,0,EJ
Russia,elec_Gen_III,Gen_III,elec_Gen_III,Gen_III (once through),0,0,0,0,0,EJ
Russia,elec_Gen_III,Gen_III,elec_Gen_III,Gen_III (recirculating),0,0,0,0,0,EJ
Russia,elec_Gen_III,Gen_III,elec_Gen_III,Gen_III (seawater),0,0,0,0,0,EJ
China,elec_Gen_II_LWR,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR (cooling pond),0,0.013378,0.0186178,0.0430386,0.102695,EJ
China,elec_Gen_II_LWR,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR (once through),0,0.0332539,0.0462783,0.106982,0.255271,EJ
China,elec_Gen_II_LWR,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR (recirculating),0,0.139513,0.194156,0.448831,1.07096,EJ
China,elec_Gen_II_LWR,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR (seawater),0,0.00496893,0.00691519,0.0159858,0.038144,EJ
Russia,elec_Gen_II_LWR,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR (once through),0.143363,1.81E-01,0.206492,0.236846,0.270672,EJ
Russia,elec_Gen_II_LWR,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR (recirculating),0.266623,0.336784,0.384029,0.44048,0.503388,EJ
Russia,elec_Gen_II_LWR,Gen_II_LWR,elec_Gen_II_LWR,Gen_II_LWR (seawater),0.0159292,0.020121,0.0229436,0.0263162,0.0300746,EJ
Australia_NZ,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (dry cooling),0,0,0,0,0,EJ
Australia_NZ,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (once through),0,0,0,0,0,EJ
Australia_NZ,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (recirculating),0,0,0,0,0,EJ
Australia_NZ,elec_biomass (IGCC),biomass (IGCC),elec_biomass (IGCC),biomass (IGCC) (seawater),0,0,0,0,0,EJ
