# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
FE_EED_noDH,H2 wholesale dispensing,forecourt production,electrolysis
FE_EED_noDH,H2 wholesale dispensing,forecourt production,natural gas steam reforming
FE_EED_noDH,elect_td_bld,elect_td_bld,elect_td_bld
FE_EED_noDH,elect_td_ind,elect_td_ind,elect_td_ind
FE_EED_noDH,elect_td_trn,elect_td_trn,elect_td_trn
FE_NO_PV,delivered biomass,delivered biomass,delivered biomass
FE_NO_PV,delivered coal,delivered coal,delivered coal
FE_NO_PV,delivered biomass industry,delivered biomass industry,delivered biomass industry
FE_NO_PV,delivered coal industry,delivered coal industry,delivered coal industry
FE_NO_PV,wholesale gas,wholesale gas,wholesale gas
FE_NO_PV,delivered gas,delivered gas,delivered gas
FE_NO_PV,delivered gas transport,delivered gas transport,delivered gas transport
FE_NO_PV,refined liquids enduse,refined liquids enduse,refined liquids enduse
FE_NO_PV,refined liquids transport,refined liquids transport,refined liquids transport
FE_NO_PV,refined liquids industrial,refined liquids industrial,refined liquids industrial
FE_NO_PV,H2 wholesale delivery,H2 liquid truck,H2 liquid truck
FE_NO_PV,H2 wholesale delivery,H2 pipeline,H2 pipeline
FE_NO_PV,H2 industrial,onsite production,electrolysis
FE_NO_PV,H2 wholesale dispensing,H2 delivery,H2 liquid truck
FE_NO_PV,H2 wholesale dispensing,H2 delivery,H2 pipeline
FE_NO_PV,H2 wholesale dispensing,forecourt production,electrolysis
FE_NO_PV,H2 wholesale dispensing,forecourt production,natural gas steam reforming
FE_NO_PV,elect_td_bld,elect_td_bld,elect_td_bld
FE_NO_PV,elect_td_ind,elect_td_ind,elect_td_ind
FE_NO_PV,elect_td_trn,elect_td_trn,elect_td_trn
FEEDSTOCKS_BUNKERS,chemical feedstocks,gas,gas
FEEDSTOCKS_BUNKERS,chemical feedstocks,refined liquids,refined liquids
FEEDSTOCKS_BUNKERS,construction feedstocks,refined liquids,refined liquids
FEEDSTOCKS_BUNKERS,other industrial feedstocks,coal,coal
FEEDSTOCKS_BUNKERS,other industrial feedstocks,refined liquids,refined liquids
FEEDSTOCKS_BUNKERS,refined liquids bunkers,refined liquids bunkers,refined liquids bunkers
FEEDSTOCKSRL,refined liquids feedstocks,refined liquids feedstocks,refined liquids feedstocks
GREEN_H2,H2 central production,biomass,biomass to H2
GREEN_H2,H2 central production,biomass,biomass to H2 CCS
GREEN_H2,H2 central production,wind,electrolysis
GREEN_H2,H2 central production,solar,electrolysis
GREEN_H2_ELECTROLYSIS,H2 central production,biomass,biomass to H2
GREEN_H2_ELECTROLYSIS,H2 central production,biomass,biomass to H2 CCS
GREEN_H2_ELECTROLYSIS,H2 central production,electricity,electrolysis
GREEN_H2_ELECTROLYSIS,H2 central production,wind,electrolysis
GREEN_H2_ELECTROLYSIS,H2 central production,solar,electrolysis
GREEN_H2_ELECTROLYSIS,H2 industrial,onsite production,electrolysis
GREEN_H2_ELECTROLYSIS,H2 wholesale dispensing,forecourt production,electrolysis
H2_ALL,H2 central production,coal,coal chemical
H2_ALL,H2 central production,coal,coal chemical CCS
H2_ALL,H2 central production,gas,natural gas steam reforming
H2_ALL,H2 central production,gas,gas ATR CCS
H2_ALL,H2 central production,biomass,biomass to H2
H2_ALL,H2 central production,biomass,biomass to H2 CCS
H2_ALL,H2 central production,nuclear,electrolysis
H2_ALL,H2 central production,electricity,electrolysis
H2_ALL,H2 central production,wind,electrolysis
H2_ALL,H2 central production,solar,electrolysis
H2_ALL,H2 industrial,onsite production,electrolysis
H2_ALL,H2 wholesale dispensing,forecourt production,natural gas steam reforming
H2_ALL,H2 wholesale dispensing,forecourt production,electrolysis
H2_NOGREEN,H2 central production,coal,coal chemical
H2_NOGREEN,H2 central production,coal,coal chemical CCS
H2_NOGREEN,H2 central production,gas,natural gas steam reforming
H2_NOGREEN,H2 central production,gas,gas ATR CCS
H2_NOGREEN,H2 central production,nuclear,electrolysis
H2_NOGREEN,H2 central production,electricity,electrolysis
H2_NOGREEN,H2 industrial,onsite production,electrolysis
H2_NOGREEN,H2 wholesale dispensing,forecourt production,natural gas steam reforming
H2_NOGREEN,H2 wholesale dispensing,forecourt production,electrolysis
IND_EN,elect_td_ind,elect_td_ind,elect_td_ind
IND_EN,refined liquids industrial,refined liquids industrial,refined liquids industrial
IND_EN,delivered coal industry,delivered coal industry,delivered coal industry
IND_EN,wholesale gas,wholesale gas,wholesale gas
IND_EN,delivered biomass industry,delivered biomass industry,delivered biomass industry
IND_EN,H2 industrial,H2 delivery,H2 delivery
IND_EN,H2 industrial,onsite production,electrolysis
PRIMARY_ENERGY,regional biomass,regional biomass,regional biomass
PRIMARY_ENERGY,regional coal,domestic coal,domestic coal
PRIMARY_ENERGY,regional coal,imported coal,imported coal
PRIMARY_ENERGY,gas processing,natural gas,natural gas
PRIMARY_ENERGY,H2 central production,gas,natural gas steam reforming
PRIMARY_ENERGY,refining,gas to liquids,gas to liquids
PRIMARY_ENERGY,regional oil,domestic crude oil,domestic crude oil
PRIMARY_ENERGY,regional oil,imported crude oil,imported crude oil
PRIMARY_ENERGY,regional biomassOil,regional biomassOil,Soybean
PRIMARY_ENERGY,regional biomassOil,regional biomassOil,OilCrop
PRIMARY_ENERGY,regional biomassOil,regional biomassOil,OilPalm
PRIMARY_ENERGY,regional corn for ethanol,regional corn for ethanol,regional corn for ethanol
PRIMARY_ENERGY,regional sugar for ethanol,regional sugar for ethanol,regional sugar for ethanol
PRIMARY_ENERGY,elec_CSP,CSP,CSP (dry_hybrid)
PRIMARY_ENERGY,elec_CSP,CSP,CSP (recirculating)
PRIMARY_ENERGY,elec_CSP_storage,CSP_storage,CSP_storage (dry_hybrid)
PRIMARY_ENERGY,elec_CSP_storage,CSP_storage,CSP_storage (recirculating)
PRIMARY_ENERGY,elec_Gen_III,Gen_III,Gen_III (cooling pond)
PRIMARY_ENERGY,elec_Gen_III,Gen_III,Gen_III (once through)
PRIMARY_ENERGY,elec_Gen_III,Gen_III,Gen_III (recirculating)
PRIMARY_ENERGY,elec_Gen_III,Gen_III,Gen_III (seawater)
PRIMARY_ENERGY,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (cooling pond)
PRIMARY_ENERGY,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (once through)
PRIMARY_ENERGY,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (recirculating)
PRIMARY_ENERGY,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (seawater)
PRIMARY_ENERGY,elec_geothermal,geothermal,geothermal (dry_hybrid)
